[INFO][2020-02-19 20:17:41,772][java.lang.Class]axioms count 502
[INFO][2020-02-19 20:17:42,831][java.lang.Class]----------------------------------------------------
[INFO][2020-02-19 20:17:42,831][java.lang.Class]Number of initial data: 257708
[INFO][2020-02-19 20:17:42,831][java.lang.Class]Number of facts with equivalent role substitution: 3506
[INFO][2020-02-19 20:17:42,831][java.lang.Class]Number of facts with inverse role substitution: 2528
[INFO][2020-02-19 20:17:42,831][java.lang.Class]Number of equivalent roles: 2
[INFO][2020-02-19 20:17:42,832][java.lang.Class]Number of inverse roles: 8
[INFO][2020-02-19 20:17:42,832][java.lang.Class]Number of facts after adding ClassAssertion: 257766
[INFO][2020-02-19 20:17:42,832][java.lang.Class]reading data time: 1056 ms
[INFO][2020-02-19 20:17:43,113][java.lang.Class]----------------------Start Materialization--------------------------
[INFO][2020-02-19 20:17:43,114][java.lang.Class]loopCount 1 dataCount 257766
[INFO][2020-02-19 20:17:43,392][java.lang.Class]loopCount 2 dataCount 386551
[INFO][2020-02-19 20:17:43,597][java.lang.Class]loopCount 3 dataCount 421511
[INFO][2020-02-19 20:17:43,642][java.lang.Class]loopCount 4 dataCount 429391
[INFO][2020-02-19 20:17:43,651][java.lang.Class]loopCount 5 dataCount 429969
[INFO][2020-02-19 20:17:43,655][java.lang.Class]loopCount 6 dataCount 430018
[INFO][2020-02-19 20:17:43,657][java.lang.Class]No new data was generated!
[INFO][2020-02-19 20:17:43,659][java.lang.Class]reason time: 546 ms
[INFO][2020-02-19 20:17:43,664][java.lang.Class]The number of facts after adding sameAs: 432697
[INFO][2020-02-19 20:17:44,141][java.lang.Class]The number of facts after materialization: 486431
[INFO][2020-02-19 20:17:44,141][java.lang.Class]The number of facts reduced in materialization due to equivalent role rewriting: 17794
[INFO][2020-02-19 20:17:44,141][java.lang.Class]The number of facts reduced in materialization due to inverse role rewriting: 35940
[INFO][2020-02-19 20:17:44,142][java.lang.Class]----------------------Start Query--------------------------
[INFO][2020-02-19 20:17:47,539][java.lang.Class]q 1
[INFO][2020-02-19 20:17:47,539][java.lang.Class]resultsCount: 21
[INFO][2020-02-19 20:17:47,569][java.lang.Class]q 2
[INFO][2020-02-19 20:17:47,569][java.lang.Class]resultsCount: 2465
[INFO][2020-02-19 20:17:47,593][java.lang.Class]q 3
[INFO][2020-02-19 20:17:47,594][java.lang.Class]resultsCount: 581
[INFO][2020-02-19 20:17:47,613][java.lang.Class]q 4
[INFO][2020-02-19 20:17:47,613][java.lang.Class]resultsCount: 292
[INFO][2020-02-19 20:17:47,629][java.lang.Class]q 5
[INFO][2020-02-19 20:17:47,630][java.lang.Class]resultsCount: 235
[INFO][2020-02-19 20:17:47,660][java.lang.Class]q 6
